label	text_a
1	oh look , it's one of the american taliban . move to the middle east , you freak .
0	 . once argued partial-birth abortions nec . for women's health . were they lying then  or breaking the law now ?
0	context is all . even some of his own party are failsing to support him . kinda begs why ?
2	global warming and other natural phenomenon are beyond control of jewish media  stop the fraud of climate change
2	roy moore rapes kids
0	this guys are real evil
2	people confuse that jew with another jew actor ...
0	" ted cruz and paul ryan called the trans pacific partnership  "" a fair deal for the american worker "" "" """
0	hey ignorant you think all whites are rednecks  have blonde hair .many latinos are white  and you're afraid of them marrying your daughter . lol
2	italians must be ashamed to have such politicians  white race is finished unless fuhrer intervenes .
0	black and white working poor are in the same boat .to keep power  the rich always turn the poor against each other by race . we are on them .
1	of course it leads only to the extinction of the white race .
0	about being pro white .
0	your base is people like you . nothing more . there aren't very many from what i've seen .
1	" the queen mom couldn't & didn't fathom there could ever come into being such an entity as a  "" black hitler "" "" . """
1	he looks like a fellow white person  we should trust him !
0	identity evropa activists had a successful day at the university of montana .
0	churches should be free to teach biblical truth & operate their houses of worship according to their faith
1	no more white submissivism to jewish supremacism .
0	" rt #nationalsocialism was never about  "" race-hate "" ""  but always focused on the welfare of the people in a racially homogeneous society . """
1	" rt : #greggpopovich says white people should be more  "" uncomfortable "" "" and admit their white privilege . as a black man i call hi """
1	the key to maintaining a civilized society is maintaining the white race ! deport the third worlders !
2	after dallas  cucks rebel against the drudge report via
0	abortion is murder #unbornlivesmatter #defundpp #prolife #chooselife #stand4life
0	whoa there  why are you asking the kkk ?
1	please check out our movie #thegranddeception about the #muslimbrotherhood in usa .
0	russia to ship 10mn tons of oil annually to india in next 10 years putin
1	detroit : the death of white civilisation via
0	why there can't be genuine revolt against confused leaders of aap ?
1	1up  are you seriously calling tucker carlsonna white supremacist ? you are way losing all credibility here  my friend . what are you trying to accomplish ? 1 ) spread hate & division among races  or 2 ) make america a better place for all children to grow up in and thrive ?
0	this why another bush will not be elected to the white house ! #noamnesty
1	 : islam is not a race ? obama white house wants to change that via
0	white man march : national socialists rally at newcastle upon tyne via
1	stop with the warnings . start the action! sic em!
0	international india work force visas being denied
0	how long before they burn real people ?
0	how i talk to my kids about white supremacists via
0	audible white chocolate .
0	share with friends : . tell bernie sanders no for his flagrant assault on our first amendment rights .
0	white people are not alowed to have opinions if we do we are so bad
1	yes . white gentiles address the jews no 1 enemy for sure . especially the white males . jews hate us
0	you ( once again ) failed to understand what a simple sentence was telling you . i wasn't talking about dangerous things  i was talking about harmless religious practices which is fundamental in my religion .
0	religious freedom shouldn't be about hate . #bigot #religiouszealot
0	stockholm : asylum-helper killed by asylum seeker #swrm #scum #sweden via
0	yes show them american love . we hate racist members . you should go and give them your love
2	answer ? ding ding - nothing ! no evidence . you're a liar  u slander people  and y
1	come on  hedd ! you know white people arent allowed to identify and associate based on race ! only blacks  asians  jews and mestizos can do that ! we have to help all people ! even if they hate our guts ! its almost as if were called upon to be better than them ...
1	shut it down : as the jewish media loses power  alternative media comes under attack via
0	white pride = hate ? your indoctrination is showing .
0	black serial armed robber disguised himself as a white nationalist skinhead via
0	definitively  there is no racism against white people .
0	black celebrities who belong to 5 % er anti-white race war cult via
0	well i mean the statues were white i guess ...
2	Today we celebrate a Jewish funded black communist who frequented gay orgies and read speeches written by his Jewish handlers  This is the equivalent of people 50 years from now getting the day off to celebrate deray who is another Jewish funded black faggot
1	iran must give up islam  you are our aryan bretheren ; save yourself ;
2	islam is full of child molesting faggots . #mohamedsucksdick
0	now if you start denouncing some of the people that you retweet and follow and you call them out on their racist views then i will no longer suspect that you're a white supremacist
0	" : the  "" anti-racist "" "" saint died  mandela's life work : mass murders  white genocid """
0	i'm brown and white can i still join or is there a rule ?
1	rip white race ? europe may well be on its last legs  germany may become banana republic without
1	which non white populations do you demand ' mix ' and ' blend ' their countries out of existence  anti white ? #whitegenocide
0	like that hunter . i mean sure his wife & son are cute  but hes promoting this
0	hayride-magellan poll in louisiana : trump 41  cruz 21  rubio 15 via
1	what is a white hispanic ?
0	i'm afraid he might start talking about fatherhood and strong families . that would be super dark #trumprally
1	evangelical groups should be teaching respect for the law . illegal immigrants are breaking the law . no amnesty of any kind
0	goals of eradication of poverty  better quality of life  strong nation are clear . it is the method that requires genius .
0	burning down your own city and stealing from your community is not justice it's illegal looting !
0	pro-white  anti-white is the real issue . both dems and repubs will ne
0	well there are way more white people in this country  and what happens to cops who kill white people ? do they get off ?
1	Why is all medicine white? Blacks don't work
1	" ah  the joys of diversity : "" : south africas police arresting young women to rape them ... via "" "" """
0	white racial violence escalates via this is sad  over 300k dead but since they are white no one cares
1	another white male kills in historic numbers .
0	the unstable alliance of nationalists and mainly jewish oligarchs in the ukraine
2	 : be brave and admit you a / zionist racist full of hate islam historicallywhat about your money collector
0	yet only hear about antifa that donate bike locks to people's heads . danged one-sided media ...
0	sure  they were deceived into fighting against there own interests .
1	you people should see how the social justice warriors are making white people look and how they are ignoring white people !
0	#altrightmeans helping your fellow white man awaken to the realities of the world .
0	my boys in white ! hh
0	life does not forgive weakness ! - adolf hitler #swrm via
2	u bitkh azz hunkkky
0	i think i need to start learning my bird about the alt right .
0	listening to the powerful testimony of the founder of the radiance foundation . #prolifecon #whywemarch
1	very happy to hear this ; gives heart to all nationalists who oppose #whitegenocide
0	the european phenotype is evidently dysgenic  ill adapted 2 modernity
0	why the change from white polo and khakis
0	"  "" a milleniun of european history  of joy & sacrifice of heroism & nobility  impel is to our task . "" "" fpj europe awake ! """
0	stuff it . we know how people like you really think . it's not about doing good  it's about feeling good .
0	me too ! i'm white so i'm already declared to be racist  you know with all that white privilege and what not .
0	muslim countries . not islamic . know the difference . many . idiots and west supported monarchs and rulers !
1	"My Twitter account has been locked 4 me defending myself&r country against subversion . My comment was : ""@ColinFerri we can (No) longer tolerate idiotic talk from fools like u . U will need to b tried & executed . CA etc r on the verge of war with US ."" ."
0	why do you hate white people so much ?
1	" maybe you have a point  but are they  "" white supremacists "" "" doing the sabotaging  or are they "" "" jewish supremacists "" "" ? """
0	" rt : . of  "" if there's one thing worth fighting for it's the right to life "" "" #theyfeelpain """
1	no . no non-white refugees  period .
0	cernovich says egg mcmuffin took out milo
0	most of the comments on this article are negative . like it or not  breitbart is right . trump is losing his base .
0	what out ancestors stole  you mean .
0	 : the official car of the alt-right .
0	it ' okay to be white .
1	" went to nordstrom yesterday and they had a big rainbow banner with the word  "" pride "" "" on the door but we both know the rainbow = whitegenocide """
0	" rt : down here in the deep south  we say   "" everything north of i - 10 is yankee occupied territory "" "" """
0	i like white chocolate
1	stop anti-white cultural appropriation | more : via
1	aggressive hiv strain causes aids faster - african expected to bring it to the usa and europe via
0	 : jihad against civilians is condemned  but jihad against israel is a duty for any ci ...
0	" the north didn't officially end slavery til 1903 - that was well after the mean ol  "" south had been emancipated """
0	she is a vile woman . and the face of the democrat coastal party . such intolerance . 2b expected though .
0	great selection of free national socialist books to download : #whitepride #whitepower
0	algebra is an arabic word . a little hint as to its cultural origins .
0	 : 1930s national socialist political propaganda the white aryan race - join the anp today ! ...
2	islam is a terrorist group .
0	 : ' oh is just free trade and pro milo but we're not with those awful white supremacists ! don't hurt us ! '
1	these shits are getting shipped all over world to start nothing but chaos and confusion! they're all going to die or prison!
1	gov . talks shit about immigration to get votes . we americans suffer . it's not that hard to deport illegals . put military on the borders.. shut down businesses that employee them end of story
1	bull  now we know those white sheriffs were paid ! don't believe trumpism hype
1	" unbelievable hate-filled insanity to suggest it is somehow  "" wrong "" "" for a nation to protect its people from rape / murder / genocide """
1	u are actually anti-white & a race traitor . what a coward  too scared to stand for his own . no black or asian would think like u .
0	white privilege clothes ? i want some !
0	" rt : domestic terrorist who hoped to  "" kill as many as possible "" "" says he targeted group because splc listed it as a ... """
0	every pick so far has been from the pool of establishment media / political / financial hacks
0	snuffing out south african identity #southafrica #africa #boer
1	tanstaafl joins me to discuss the jewish agenda to genocide the white race  the #altright  trump  and more !
1	my friend got his ass kicked . but that's ok too right because he's not the right color . plus yiddish? fuck you
1	putin discusses the impending genocide of the white race
0	i know d-aspartate and dehydroepiandrosterone ( dhea ) increase t . zma increases through deeper sleep . never heard this abt krill tho .
0	white is right   what is left
1	that negates the global system of white supremacy ?
0	when a british prime minister praised adolf hitler as greatest living german via
0	i'm happy we all took the red pill ! #maga #americafirst #alllivesmatter
0	nah man  jews are white
0	" kkk & white citizens cncls believed  "" race mixing "" "" ( integration ) would "" "" destroy society . "" "" what they really meant """
1	if islam is banned what happens to the muslims? arrest them? kill them? what exactly?
0	"  "" we must break free from the petty politics of the past . "" "" #rncincle """
0	listening to who i would much prefer to either cruz or hillary
0	trump speaking in south west virginia at 3pm - - - should be interesting . pass it on ...
1	anti white much ?
1	Just got shoah'd AGAIN . 3 shoah's in 3 days . I hope those stupid faggots at twitter hang themselves Their bots are fucking shit . Dumb dirty kike faggots All bc I started a curious cat acct
0	podcast : jeffrey tucker  libertarianism & the alt-right
2	THEN WHY HAVEN'T THEY BEEN HUNG FOR TREASON!
1	1/what is it with these vile , savage animals and excrement? too bad there's no world mar
1	that they would adopt a black then have white kids
1	the laws which exist today discriminate in favor of blacks and against whites .
1	moscow ? or pakistan ? .. #wr #whiteresistance #whitegenocide
0	why middle-aged  poorly educated white people in america are dying off faster than ever
0	kkk goes down ...
1	tariq unblock him so my boy elder can punch u in the head you coward !
0	this is exactly how to do it . good optics  strategy and also just good hearts helping these poor guys . bless u
1	the little one is a white supremacist .
0	is abortion wrong because they feel pain ?
0	everybody said that totally obvious  my question is how much longer are whites going to play in democratic circles ?
0	" rt  "" in 1960  the population of the united states was 85 % white ; by 2060  it will be only 43 % white "" "" """
0	israel doing what muhammad bin qasim did in sindh or ghaznavi did in india .
1	What is the difference between Santa Claus and jews? Santa comes down the chimney .
1	race war in south africa : white students attacked with rocks and bricks at western cape university by
0	" rt : "" racist "" "" has lost most of its meaning w / whites . only thing we should be concerned about is not larping w / """
0	 : antifa is going to pikeville ? are they nuts ? !
0	your white supremacist leader tony must be creaming his trousers over this one
0	 : pentagon to obama : wait until fall 2012 to end surge #america #gop #democracy #whitepride
0	americas poorest white town proves link between race and crime przez
0	white man march what is the white man march ?
1	still think sodomy is part of white identity ?
0	" after 50 years of race-based legal activism aimed at whites  when we organize to resist it  they say  "" white "" "" is not a valid group definition """
1	that's another reason we need to block this ruthless , scavengers animals , sorry for my language , there isn't words
0	"  "" evolution is racist against whites "" "" please explain how a scientific phenomenon can be racist . """
0	who lost the white working class ? via
0	" no such thing as the  "" human race "" "" . white is not a color . whites have """
0	dude  there are literally white people who think they are actually smarter than a black physicist
1	gay-milo is embraced by one pro-semite editor at tac mag ~ the old dude muted me b / c he perceived my comments 1488 / anti-semitic
0	swiss blogger sentenced to six months in jail for question the ' six million ' via
0	that attitude is all over stormfront . stormfront is filled with the defeatists . they don't really care about the white race .
0	... different than antifa and soros .
0	former cm of odisha and senior congress leader giridhar gamang quits party
0	condolences to his family  he was patriot for our people
0	i have a feeling these idiots have a lesson coming before long . good people are n
0	47 lakhs muslims in germany . 28 crores ( approx ) in india . least safe country is india nowadays . nd the corrupt media
0	 . giving an update on his work as an activist over the last year .
0	not sure referencing evropa when making a plea for american workers makes sense .
0	i hate racism and white supremacy  and theyve blocked me . i lean libertarian  and im pretty sure th
0	paul ryan builds #border fence around his mansion  doesnt fund border fence via #securetheborder
0	it's a funny how a #cambodian man & japanese woman were outed as #kkk members . : ) #epicfail
1	i would make white babies with all of them thats what i am willing to do for the white race
0	"  "" we are white and weak and scared of the other "" "" """
1	Why do women always show there curves Every time I walk down the street I catch myself stairing at a girls tits or ass why can't we be like Islamic country's where women where berkas
0	there are millions more where we came from  we are fed up ! capiche ' ? we have been silent but we see that wall is getting flack - iii % weary .
2	family of shitskin ingrates tries to put one over white america  gullible status-whoring white via
0	the problem with the alt right is it's ineffective . it doesn't understand the rules to power . they thin
0	anyone snap any pics of antifa at amren ? last year we got some good ones
1	Go back to China .
0	he's clearly got the people on his side . look at the phony polls . the fox poll has him way up with indies and republicans
0	great podcast for those interested in white identity #whitenationalism #whitepride # via
0	" rt pm modi said in boribali  mumbai rally  "" do you know the real meaning of ' ncp ' . ncp means "" "" naturally corrupt party "" "" """
0	" ' holocaust ' debate / comments / news video michael hoffman on the new movie  "" denial "" "" and david irving : mi ... """
0	all of us in india have been inspired by your aspirations for your country and africa : pm
0	china and india have withdraw troops from a standoff at the border on tuesday  the chinese foreign ministry said .
0	#altright  you look like morons carrying tiki torches from a store that capitalizes on globalism . america doesnt need you .
1	latvia : thousands hold stop white genocide rallies | read more : via
0	praying sounds like a oxymoron for you vicky  when the bills you support will seriously harm your constituents . then we could address the serial sexual abuser  bully  racist  white supremacist ( etc . ) that you worship . what would jesus say about him & what he's doing ?
0	milo is all about becoming famous .he used gamergate and alt-right to achieve this .thats fine but some of us have political goals
1	she deserves it! you lay with fleas you're going to get bit .
1	oh  that's right : black summer 2014 is about to kick off with memorial day . yoof violence will be broadcast on worldstarhiphop
0	" 2 ) just imagine what would be happening if  "" open borders "" "" hillary was president . """
1	australia you had better get this vermin out of your country if you want to keep it free .
0	it's amazing how they know who is a jew vs non-jew
0	" do you think bannon is  "" alt-right "" "" racist ? """
0	does this pick upset you ? good  racist dolts
0	dismiss fin secretary for fooling you mr pm on his ability to handle the matter pl resign
1	horrible . 9 year old white boy commits suicide after being tormented for months by racist arabs via
1	well  white people are all alike  so it should be an easy read .
0	awe ... a little butthurt are we ?
0	the more you know  the more you hate them .
0	trying to start a web war please try us revolutionarys fight for democracy an free race you guys are the cowards since you linch
0	i will always take a fellow marine over russ moore .
1	i have warned of sharia finance for years
0	is that a picture of u . trump proved this week that he supports racist . people that hate u . are u mentally competent . wow ! ! !
2	so you support gooks infiltrating and polluting the white gene pool ?
0	wrong on many levels . hes a disgrace . america is the land of the free & opportunity that pink was raised by white bc his own black parents didnt want him . his oppression is phony ! ! ! and the are just as ridiculous .
0	 : have a discord session about this between every known person in ar ( i . e . you and hunter ) and disc
0	 : cuckservatives : blame #nevertrump via
0	i don't know which is more pathetic the banner you put up or the quality of those photos you took . it's 2017  get rid of your flip phone and don't use your dirty sheets to make banners . it does embody the commie scum thing you got going . so theres that ..
1	detroit : the death of white civilisation #swrm via
0	" being  "" despised "" "" doesn't negate your heritage . learn to think  or who is paying you ? """
0	using white ethnic labels might  german  polish  french  norwegian  italian etc . it means white !
1	dumbass is one word . you're* you can't even use the english language correctly . let me guess , your aunt is also your mother?
0	also  our unity rests not on cultural  or imagined  differences  but on our psychic unity ... our primal unity . we are one species .
2	white slurpin . afraid of slurpin a longer  colored one
0	you guys are scum and nearly all of the white race hates you
1	What's the difference between a black person and a bicycle? The bicycle doesn't start singing when you put chains on it .
1	what does she mean ? she is white . they hate white ppl . they hate themselves . why would you reproduce mo
0	that's it call me a racist . you win .
1	make welfare recipients work the jobs illegal immigrants have now .deport them there is your job platform!
0	i support sanctuary cities  can you just go away with your racism and xenophobia
0	what happens when white liberals can no longer blame white racism for keeping blacks down ? : #blacklivesmatter
0	country music  reo speedwagon  clair de lune at #rncincle #implicit
2	no  because they are simply doing their jobs ; black thugs attaching white chicks & other helpless people is despicable - total savages
1	the extermination of the white race : the real facts about britain and non-white immigration via
0	in memoriam panzerdivision waffen-ss totenkopf t-shirt from the white resister : via
0	 . if being fair to white males is racist to you  then you have a problem  not i .
1	its all fun and games as long as the muds are terrorizing whites that is the jew plan but when they turn on the jew all of a sudden they are terrorist
0	im white
2	the illegal immigrant is not immigrant , they are invaders intruders
1	send them back to their motherlandillegal is illegal no matter what you call em
1	the best thing for all those ideas and ideals is the survival and expansion of the white race .
1	As if killing a few people who deserved it means you are the most right wingest that ever existed or something
0	i'm sure they won't be called racist now .
0	because he is a populist
1	new black panther party got suspended for posting about jews . dont worry  anti-white hate and threats of violence is still allowed on the platform .
1	 : southern nationalism has a better chance in dixie  than wn / ns does in yankeedom or pacifica .
1	i dont do either . 100% against refugees(& islam , blm , pc , all the rest) . im p
0	 : british nationalists arrested simply for planning protest
0	totally false narrative . plus he killed 9 people . this shooting could
0	oh i'll just use skype  they all have my dox anyways . brad knows that if he wants to come to my house  he needs to put on a clean shirt and mind his ps and qs  no booze on his breath  comb his hair  and sit up straight when i serve tea ... antifa yenta don't take no nonsense !
1	what happens when the whites get a belly full of diversity and leave .
0	" rt  "" : blood & honour - white aryan resistance t-shirt from the white resister : "" "" ; """
0	cruz is extremely popular among white-evangelicals in the lone star state
0	thanks & house constitution subcommittee for discussing threats to religious freedom : 
0	no same old bait & switch conservatives of years past . what's different is people are not sitting back
0	sure . i hurt mine squatting with wrong barbell . outer forearm and inside elbow muscle and tissue strained . hurt with bent rows & curls .
0	" there is also video evidence of neonazis chanting  "" jews will not replace us . "" "" you cannot revisionist history your way out of charlottesville """
1	white men who get with nonwhite women , are sexual failures .
0	white woman walks in black neighborhood : im sorry black america cbs chicago
1	deport all illegals now! send usbp to cities to assist ice to deport every illegal!
1	yeah this isn't portland , that kind of behavior here would get them on the wrong side of a slaughter
1	It's easy for them to multiply because their African genes are so incredibly pronounced .
0	common figure around the conservatism circles
0	lol you're a coward . you have the entire state  academic and corporate apparatus propping morons like you up . gtfo of here lol . say anything that a black person disagrees with and you risk getting fired from your job and having violent communist antifa threaten your life .
0	questionnaire was created by racist hate group shows what political power blatant hate groups have in gov't
0	i can't look . i'm too white pilled right now .god i hate communists
2	you got any of that rat jew robert spencer
1	"but what about """"hopped-up"""" murderers? won't they at least get 'wrist-slap'? don't deport them'gulag' them!"
0	what is the democrats agenda behind undocumented immigration ! ?
2	italians aren't romans . whites are just pale neanderthal half-breeds
0	sure they have  but they were unsuccessful  look at those countries now ...
0	which is great optics for the right . nothing negative no bad signs . no violence . and yet
0	trumps america first leaves jewish groups hesitant via
0	 : most of the comments on this article are negative . like it or not  breitbart is right . trump is losing his
2	convincing ordinary white people ? what are you a cuck ?
2	white lives don't matter . whites need to die for their sins ! arrest everyone who attends this rally .
0	well the new white house priorities are legislation asks .
1	majority of american citizens want the wall  and immigration laws enforced . it's been said again and again . let trump keep his promise .
1	i like my women the way i like my fish . . . battered .
0	i can see you really hate people who like the wall .
2	white lives don't matter . diversity means chasing down the last white person .
0	abe foxman takes post at israel think tank via #withjewswelose
0	cuckservatives : mlk conservatives eschew white identity politics via
1	Person cutting my hair : : So are you seeing anyone? Me : : Not since things ended with my last boyfriend . It was complicated , he was from Afghanistan... Person cutting my hair : : And he was a terrorist? I was going to say that a close family member had died in a bombing and he had to go back to Kabul . But I guess terrorist works?
1	philip girladi interview  jewish americans pushing wars via
1	the white genocide continues : white race now minority in london via
0	the growing anti-white agenda ; obamas overt cleansing of white america ; rebel flag desecrated | american free press
0	hunter wallace has a way with words : 
0	you smear the south by cla
0	that is what bo wants - racial division .
0	the founding fathers were white nationalists .
2	you guys are gay and ugly
0	an end to open borders is the holy grail of trump movement  you corporate-schlong-sucking cucks .
0	palestinians exists like texans or egyptians exist . human rights  including residency  don't depend on race or religion .
2	" because they know retards will hear  "" islam "" "" & will want to kill all muslims . duh ! """
0	mps are too white  says david cameron | american renaissance
1	i've personally pranked a gay , two commies and a (((fellow white person))) out of the gym , did my wings just get lost in the mail?
1	a few people get shekels
0	thanks for asking others to contact sec . hagel re protecting servicemembers ' religious freedom .
1	exactly elder! these libturd commie globalist puppet , sewer rats don't know how to handle a new york street fighter! what a bunch of woosies
1	= = = has shown he puts illegal aliens  refugees before us citzens .. he must be defeated .
0	destruction of culture / less cultural influence and more state control over the economy is lw .
0	white nationalist cognitive dissonance via
0	just to show you how unfair republican primary politics can be  i won the state of louisiana and get less delegates than cruz-lawsuit coming
1	"scream back at'em """"olly olly oxen free!"""" while doing jumping jacks . that'll freak them out and they will melt ."
0	where did you get this plan of calling others what you are ? ? trump . lol your a joke like him .
1	" rt back from israel  where you see  "" that inner freedom  that simple dignity "" "" of "" "" people who remember their heritage & are loyal to their fate . "" "" """
1	" the  "" holocaust "" "" is so bogus . #freehorstmahler """
0	are these approved by the kkk ? #ghosts
0	rt : donald j . trump - sumter  south carolina . #trumptrain #trump2016 #scprimary #votetrumpsc
1	only legal immigrants here- illegals and children go home!
1	enforce immigration laws or become 'a third-world nation' - via
1	cuckservatives : are republicans for freedom or white identitypolitics ?
1	what data ? the race-baiting rants of paranoid white guys ? if you're superior you should have no problem surviving in a mixed world right ?
0	i think you got yours from a jew hating site
1	you people aren't human . these daca people were brought here as children they hold jobs , own homes and are more american then you .
0	"  "" failure of the racial narrative "" "" pretty amusing considering who the bulk of the failed states / people are . """
0	" rt : . in your article  "" white rage and racist thought  "" "" you call white supremacist richard spencer "" "" robert spencer """
0	i think spencer is a good pro-white spokesman .
1	breaking : white men are the majority of men who breathe oxygen in america .
1	since u support trump your probably racist too like the rest of us deplorables !
1	 : peres : jews can live safely in palestinian state : whats this fear ? theyll kill jews ? today ?
0	don't make the white kids angry . #unitetheright #charlottesville
0	join us in house as ken klukowski  our director of the center for religious liberty  reviews recent scotus decisions
1	i favor immigration reduction / border controls  but think i'm cool if they start a biz & hire native-born americans
1	you continue to ignore the end effect of a declining white pop while importing pops w / high birth rates . you support replacing white people .
0	because you chose antifa odds we need 30 people to fight 1 person as a fair fight ?
1	yep , the deal is , they get deported and so do their illegal parents . then we build the wall so they never come back . that's my dream . does that make me a dreamer?
0	criticising this white idiot's ideology is racist . it's also deeply offensive to idiots .
0	white race will tell you
0	 : yup  the white supremacists ! !
0	of course ... he will shrug it off ... sessions will make a few comments ... just one big globalist neocon sham .
0	 : well  i do plan on red-pilling pretty much the whole alt-lite . i'm sure i'm not the only one . #adlprophylactic
1	i dont know if this is a good thing or bad but only time will tell ... hail our people !
0	white people in iowa  and surely white protestants  will not vote for either cuban . #iowa #ia
0	sites that expose jihad in the usa  . remember tsarnevs ? obama punts .
0	peasants into frenchmen is a great book  but it doesn't contend  at least not explicitly  that nationalism is a modern phenomenon .
0	poll : donald trump jumps to an 18 point lead over ted cruz nationally . reports .
1	absolute proof jews enemyof white race !
1	have you ever considered that if nobody cares about ethnicity the entire human population will eventually turn brown?
1	don't capitalize the j in jew . it really gets to them . plus jews never capitalize the w in white . exceptions : titles & beginning a sentence .
0	what part of islam makes anyone desire it in anyway ?
0	the growing worldwide threat to religious freedom alliance defending freedom blog
0	the economist : an insurgent in the white house via
1	well it never used to be . much like it never used to be in white society . but jewry effects
0	well .sorry the thing happened and people were hurt  and being white just glad he was stopped now matter his race
0	white people is not a culture ! white people are a bunch or other people from other places  same with blacks . mexico is a country
0	thanks and still standing for freedom
1	now that you mention it ... maybe a wall at the alabama border isn't such a bad idea .
0	isnt he just the picture of the product of fake intellectualism that has plagued academia for 30 years ? cruel to tell him he was talented
0	" rt oh  i love this ! ! thank you for all of your efforts . i live in atlanta and it has changed dramatically in just five years ( not for the better ) . we have  "" no-go "" "" zones and the like . most don ; t realize how bad it is because they go from car to house to work . it's bad  folks ! """
1	it's okay to be a racist as long as your not white
0	tomo kejriwal will wave papers & say jaitley too is corrupt .during upa regime he listed 15 corrupt ministersthen formed govt wid same cong
0	makes you a white supremacist .
0	gop elites plot to purge trump via
1	there are no races..according to white libtards that voted for the chimp
1	"they'll be ignored . the """"parasites"""" need to all go home!"
0	well the sharia is the racist totalitarian regime we are trying to stop . will you support us ?
0	they were praying he was white !
2	thank merkel for allowing 3rd world muslim savages to come to germany
1	Why do black rappers always wear jewelry? The chains remind them of were they came from .
1	" lol  "" white ppl are afraid  but blacks saying everyone is racist and out to get then is totally logical "" "" """
1	even further we need a tab for white culture on your website . colonialism  rape  white on white crime
0	ritual muti killings is a way of life in rural areas of black south africa | more : 
0	 : dont defend yourself robert . truth hurts people who dont want to see the world  4 what i
0	" it's a public college . you people use pejoratives because you have no argument .what you deem  "" hate "" "" is really just anti-white rhetoric . """
1	the african dream is a chance to move to america or europe to live under white privilege / civilization
0	i guess they'll say the facts are racist angelina
1	via : clash of civilizations : iranian in canada attacks wifes boss for saying hello #tcot
0	"  "" : racist black anti-white shooting spree  says tchers taught him to hate whites ; via "" "" """
0	 : really have you heard the pope lately ? no christian or jew is taught to kill homosexuals . n
0	rod - a truconservative betrayed religious liberty over a fictional zombie television show threatening to leave ga
1	have problems ? when did obama first spurn israel ?
0	" rt  "" imam who issued fatwa against modi now threatens tarek fatah of beheading "" "" - report in . """
0	wait there are white male democrats ?
0	white lives matter is not a racist message
0	as do the younger . what generation makes up antifa ? the most thotish ? most viruently a
1	i work in healthcare and all our overdoses are white people . media cant exploit the deaths of white people . they're using the minority pop .
1	don't muslims commit hate crimes against jews every time they visit a mosque and pray to kill the jew behind them ?
0	needs be summarily gallowed  without hood  for full informative and instructive effect . the transition to solomonic leadership ought
0	jewish alt-right backer mocks neo-nazi for scrapping montana rally via
1	kill them .
1	i reject the moral superiority of a coalition led by white men vs . the will of black  brown ... via
0	it doesn't effect religious liberty one iota .my god  my religion  my faith haven't changed .nor will they .
0	" raymond ibrahim on egypt : coptic christians fed to muslim  "" lions "" "" via """
0	university of washington . #projectsiege
1	you must be the arithmetic man; you add trouble , subtract pleasure , divide attention , and multiply ignorance .
2	illegals suck jobs from every level of us work force . flood lowest jobs & cherry pick the best ones . vermin . need orkin !
1	halt h1-b visas completely! they are not needed! train us workers instead or get out of business!
1	Finally something positive I found of the Ethiopians HIV
0	the kkk is a terrorist group  white kids that shoot up schools  should be called a terrorist .its not about race .
1	obama created this level of misguided hate in america ! these people are feral animals  who
1	he wasn't black  he was ( ( ( a fellow white person ) ) )
1	elin krantz : just another dead white liberal female via #tcot #p2
0	they're white .
